# source=Hikvision iSecure Center V1.7.0 public return codes and Appendix E
# sectionKey	sectionName	errorCode	description	message
OFFICIAL	附录E.1.1 视频应用错误码	0x01b01304	No storage info of camera has found.
OFFICIAL	附录E.1.1 视频应用错误码	0x01b0f000	Internal error.
OFFICIAL	附录E.1.1 视频应用错误码	0x01b0f002	Request for calling central storage service port failed.,0x0d200d11:Manual record task doesn't exist.
OFFICIAL	附录E.1.1 视频应用错误码	0x01b71400	Request error: Incorrect request (incorrect name or request parameter).
OFFICIAL	附录E.1.1 视频应用错误码	0x01900017	Param format error
OFFICIAL	附录E.1.1 视频应用错误码	0x01900050	Device operation failed
OFFICIAL	附录E.1.1 视频应用错误码	0x01900053	Device is not supported.
OFFICIAL	附录E.1.1 视频应用错误码	0x0190022d	get belongIndexCode from device/channel indexCode Fail.
OFFICIAL	附录E.1.1 视频应用错误码	0x01900231	Device data doesn’t exist.
OFFICIAL	附录E.1.1 视频应用错误码	0x02812000	The required parameter cameraIndexCode is not exist.
OFFICIAL	附录E.1.1 视频应用错误码	0x02830000	Token Invalid! request forbidden!
OFFICIAL	附录E.1.1 视频应用错误码	0x02830001	Token Check Failure! request forbidden!
OFFICIAL	附录E.1.1 视频应用错误码	0x02830015	Failed to invoke external service function.
OFFICIAL	附录E.1.1 视频应用错误码	0x02830022	The required parameter userId is not exist.
OFFICIAL	附录E.1.1 视频应用错误码	0x0283003a	Ezviz encoder does not support manual record.
OFFICIAL	附录E.1.1 视频应用错误码	0x0283003f	Service exceptions
OFFICIAL	附录E.1.1 视频应用错误码	0x02830042	nonexistent cameraIndexCode.
OFFICIAL	附录E.1.1 视频应用错误码	0x02850102	Error handling of internal logic of backend interface (database disconnected, dependent interface access failure, etc.)
OFFICIAL	附录E.1.1 视频应用错误码	0x02811037	设备验证码错误
OFFICIAL	附录E.1.1 视频应用错误码	0x02811038	deviceSerial不合法
OFFICIAL	附录E.1.1 视频应用错误码	0x02811039	设备已被自己添加
OFFICIAL	附录E.1.1 视频应用错误码	0x02811003	设备不存在
OFFICIAL	附录E.1.1 视频应用错误码	0x02811004	设备不在线
OFFICIAL	附录E.1.1 视频应用错误码	0x0281103a	设备已经被其他人添加
OFFICIAL	附录E.1.1 视频应用错误码	0x0281103b	设备添加失败
OFFICIAL	附录E.1.1 视频应用错误码	0x0281103c	萤石接口异常
OFFICIAL	附录E.1.1 视频应用错误码	0x0281103d	用户不拥有该设备
OFFICIAL	附录E.1.1 视频应用错误码	0x0281103e	Ezviz switch close, please check whether ezviz switch has been opened in parameter configuration.
OFFICIAL	附录E.1.1 视频应用错误码	0x0281201e	The camera has no record plan of input type.
OFFICIAL	附录E.1.1 视频应用错误码	0x02814000	The region which regionId is XXX does not exist.
OFFICIAL	附录E.1.1 视频应用错误码	0x02830043	The required parameter XXX is blank.
OFFICIAL	附录E.1.1 视频应用错误码	0x02830064	The length of XXX exceeds maximum. The maximum length is XXX
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200101	协议参数错误
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200102	权限验证不通过
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200105	json解析失败
OFFICIAL	附录E.1.1 视频应用错误码	0x0d20010d	封装json失败
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200119	安全会话ID已过期
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d02	录像计划不存在
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d39	手动录像已经存在，请先关闭后再下发
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d01	无效参数
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200916	sac pool ID不存在（资源池不存在）
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d0a	没有找到指定存储设备
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d13	存储设备不在线
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d10	存储设备不支持该操作
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d07	向存储设备下发计划失败
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d11	手动录像任务不存在
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200506	返回结果为空
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200b0f	设备不支持该功能
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d18	查询录像不存在
OFFICIAL	附录E.1.1 视频应用错误码	0x0d200d33	获取VNSC信息失败
OFFICIAL	附录E.1.1 视频应用错误码	0x0d20010e	连接VNSC失败
OFFICIAL	附录E.1.1 视频应用错误码	0x00072001	The required parameter $ is blank.
OFFICIAL	附录E.1.1 视频应用错误码	0x00072002	The value of Parameter $ is out of range.
OFFICIAL	附录E.1.1 视频应用错误码	0x00072003	The format of Parameter $ is not correct.
OFFICIAL	附录E.1.1 视频应用错误码	0x00072201	Resource unauthorized.
OFFICIAL	附录E.1.1 视频应用错误码	0x00072202	Invalid Resource.
OFFICIAL	附录E.1.1 视频应用错误码	0x00072203	License reaches the upper limit.
OFFICIAL	附录E.1.1 视频应用错误码	0x00052301	Other error.
OFFICIAL	附录E.1.2 电视墙错误码	0x01670002	认证错误：服务认证失败,用户名和密码错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01670003	认证错误：服务认证失败,令牌错误
OFFICIAL	附录E.1.2 电视墙错误码	0x01650306	系统错误：系统内存不足
OFFICIAL	附录E.1.2 电视墙错误码	0x01650401	设备错误：设备连接失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01670402	设备错误：设备登录失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01650407	设备错误：设备操作失败,其他原因
OFFICIAL	附录E.1.2 电视墙错误码	0x016303e9	配置文件config.prpperties不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x016303ea	电视墙实例不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x016303eb	配置项"tvms\_ip”无效
OFFICIAL	附录E.1.2 电视墙错误码	0x016303ec	配置项“tvms\_port”无效
OFFICIAL	附录E.1.2 电视墙错误码	0x016303ed	配置项“tvms\_loglevel”无效
OFFICIAL	附录E.1.2 电视墙错误码	0x016303ee	配置项“tvms\_indexcode”无效
OFFICIAL	附录E.1.2 电视墙错误码	0x016303ef	配置项“bic\_ip”无效
OFFICIAL	附录E.1.2 电视墙错误码	0x016303f0	配置项“bic\_port”无效
OFFICIAL	附录E.1.2 电视墙错误码	0x01610001	电视墙服务未初始化完成
OFFICIAL	附录E.1.2 电视墙错误码	0x01631001	设备资源不存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01631002	解码设备数量达到上限
OFFICIAL	附录E.1.2 电视墙错误码	0x01631003	该设备名称已存在
OFFICIAL	附录E.1.2 电视墙错误码	0x01631004	该ip的设备已经添加
OFFICIAL	附录E.1.2 电视墙错误码	0x01631005	添加解码设备时，不能识别到该设备类型
OFFICIAL	附录E.1.2 电视墙错误码	0x01631006	参数错误，解码设备添加失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01611008	获取解码设备网域id失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161100a	解密解码设备密码失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161100b	加密解码设备密码失败
OFFICIAL	附录E.1.2 电视墙错误码	0x0161100c	该解码设备不支持当前操作
OFFICIAL	附录E.1.2 电视墙错误码	0x0161100d	设置解码设备密钥失败
OFFICIAL	附录E.1.2 电视墙错误码	0x01611028	服务内部错误：获取解码设备信息失败
